id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
2khMJckgf597CDTurkww8J,وش جاه,33,253973,0,['Rashed Al-Majed'],2008-01-01,0.601,C#,0.399,0.0,92.924
6EpRtID1Pof07pjuUSdxad,Soy Así,49,212587,0,['Valentín Elizalde'],2008-01-01,0.652,F,0.567,0.0,174.092
3Bab8rkL9ByngZwofNYQkt,Un Rinconcito En El Cielo,54,220500,0,['Eliseo Robles Y Los Barbaros Del Norte'],2008-01-01,0.672,A,0.109,0.0011,109.91
4zY2l24eh1b8SAIxvxyeHy,My Heart,31,240253,0,['Lizz Wright'],2008-01-01,0.659,G,0.833,0.00011,89.009
0G7kiPVnGwJm88dmMdMGFE,Voyage Voyage - Extended,37,433773,0,['Kate Ryan'],2008-01-01,0.56,G#,0.000486,0.178,129.993
3NXtnSBSZPPu7djESFaR74,Goyang Duyu,41,179773,0,['Project Pop'],2008-01-01,0.627,E,0.213,0.0,79.988
7mGWkV8bG6m6dmXafzuNi5,Banyak Asap di Sana,32,243716,0,['Efek Rumah Kaca'],2008-01-01,0.404,A,0.00549,0.000197,68.301
1xOJNXLHqaxNFL5UpCXFxd,Volverte A Ver,48,239813,0,['Chenoa'],2008-01-01,0.553,C,0.742,3.04e-06,135.87
1cPcbT9kuGAMCAwI9W8vAL,Fairground,45,266693,0,['Simply Red'],2008-01-01,0.722,F#,0.207,0.00701,122.86
0Mpr7VzXBCzt4zRGx8XX0Z,Pero Te Vas A Arrepentir,52,190973,0,"['K-Paz De La Sierra', 'José Manuel Zamacona']",2008-01-01,0.693,C,0.529,0.0,130.034
2Kld61w2NR7zPPXtaHeIii,CLOSER,51,208013,0,['Joe Inoue'],2008-01-01,0.374,B,0.00122,0.0414,165.952
5VIRp9asGN6c4WX0pz7vsE,Hujan Jangan Marah,35,267776,0,['Efek Rumah Kaca'],2008-01-01,0.395,B,0.482,0.112,81.822
66DKsVLCDNqTVlQVeAH8tJ,El Corrido Del Chapo,56,167933,0,['El Tigrillo Palma'],2008-01-01,0.707,F,0.532,1.09e-06,116.983
2nCvPmotKtqZQJCpNwU7QW,Hari Yang Cerah Untuk Jiwa Yang Sepi,46,238680,0,['Peterpan'],2008-01-01,0.505,G,0.00683,0.000874,122.0
1B35tPNlY3XZQvYwELxSvq,Refiner's Fire,42,254827,0,['Pure Worship'],2008-01-01,0.368,E,0.698,0.0,72.581
7Gb2XEMXq0ZfzLDuN2gp3W,Mal Sans Toi,34,260960,0,['Thayna'],2008-01-01,0.584,B,0.157,0.348,168.01
3i7CqduWPS62nOQssRymQ6,Yang Terdalam,46,197507,0,['Peterpan'],2008-01-01,0.624,B,0.175,0.0162,138.079
2R5ugTaaeuuD7qPTrNaMks,หลงวัฒน์,28,271893,0,['Carabao'],2008-01-01,0.616,C,0.0274,0.0,136.039
0OdYbzuaCAYu7hmViKvTAM,Masih Mencintaimu,41,190373,0,['GRUVI'],2008-01-01,0.525,G,0.584,0.000364,150.04
1ccjTn3FVsmP9SOw4jPfu8,Pelangi Kasih,41,253781,0,['Maria Shandi'],2008-01-01,0.449,G#,0.706,0.0,135.753
1VN8sWay0qLE9PreBo2P9p,Dibelakangku,42,302320,0,['Peterpan'],2008-01-01,0.38,A,0.239,0.0136,139.902
2cMKSqgsZTdDoD9p4xL1u5,I'll Take Care Of You,41,252320,0,['Richard Poon'],2008-01-01,0.258,G#,0.799,3.71e-05,103.493
0m7iD6ned8R1C0sbde3HzQ,Tuhan Pasti Sanggup,42,264778,0,"['Maria Shandi', 'Mike Mohede']",2008-01-01,0.449,E,0.875,0.0018,139.743
0HMi0yM1WPuzpl7hSfLEnc,Langit Tak Mendengar,42,231440,0,['Peterpan'],2008-01-01,0.515,E,0.34,0.000425,114.996
4vmLCwIH2r5r04aw5qRX4c,Maafkan (Tak Sempurna),42,238813,0,['Ecoutez'],2008-01-01,0.667,E,0.598,0.0,163.652
6ZbiJneHD6Vxk2usBNydiY,Lloro Por Ti,51,247440,0,['Enrique Iglesias'],2008-01-01,0.705,A#,0.22,2.37e-05,79.992
6t6MsgqiPEQGC849NpYrZh,Sajang É,36,262104,0,['Massada'],2008-01-01,0.52,A,0.415,1.6e-05,116.73
5CNU4j5nzuBFM7Djsu9fMD,Dangdut Is The Music Of My Country,38,247627,0,['Project Pop'],2008-01-01,0.583,E,0.078,0.00209,91.778
53jVt2BD1Wgh1aUoqAodQT,Pernah Muda,46,203640,0,['Bunga Citra Lestari'],2008-01-01,0.711,A,0.324,7.88e-05,104.983
04Opv95YdaTL2OU4tooVyQ,Balerina,42,242608,0,['Efek Rumah Kaca'],2008-01-01,0.45,G,0.0218,3.65e-05,130.062
50Rr5oZu70pOqUQjvZewsh,Gekkenhuis FT. Jawat,35,367707,1,['Opgezwolle'],2008-01-01,0.721,A,0.138,0.0,96.003
5NeyKBsfa7ync3zsxqIsvR,Oew Oew,35,215507,0,['The Opposites'],2008-01-01,0.808,D,0.000761,7e-05,97.97
7kkW7DtIigWXthYw9IwahH,Kenakalan Remaja di Era Informatika,38,261248,0,['Efek Rumah Kaca'],2008-01-01,0.452,E,7e-05,0.0,130.046
4WGurtyQy6WfJ04wmM0VkH,Diam Tanpa Kata,46,236013,0,['D’MASIV'],2008-01-01,0.581,B,0.012,0.0,134.842
0xUIlEMQOw5FnNidorIJQ4,Forevermore,43,227920,0,['Jed Madela'],2008-01-01,0.549,D,0.399,0.0,84.017
1PgYdQBOU3Cl0e96wae7Fo,Are You Really The One,46,254720,0,['Ecoutez'],2008-01-01,0.759,A,0.451,0.0,95.034
7lkdxh1nV6XahhBiXITSbb,Comme Un Enfant Au Brésil,34,172947,0,['Didier Super'],2008-01-01,0.671,A,0.0498,0.0,134.201
1wapRbwUT3SCArulsltwWY,Mon irréel,34,227307,0,"['Kamnouze', 'Fanny J']",2008-01-01,0.535,D#,0.41,0.0,172.115
4gpjBYc0lAkhYnmnfMeq4g,Zelda II (Title - Battle - Fairy - Palace),21,386227,0,['Year 200X'],2008-01-01,0.118,D,4.74e-05,0.88,73.763
1xQvPFljQXA3GCK869ERvC,Ducktales (the Moon),23,131253,0,['Year 200X'],2008-01-01,0.257,G,0.000158,0.821,82.513
0X5jHsNHshuHNfAWs1sxQ5,Permitame,69,185013,0,"['Tony Dize', 'Yandel']",2008-01-01,0.629,G#,0.0287,0.0,214.025
2PVlLlZ6qnpByoKauSm9ar,De Vrolijke Koster,34,246000,0,['Het Feestteam M.M.V. Johnny Romein'],2008-01-01,0.327,E,0.499,0.0,123.007
2qU17itEaJatg5saBg4lm2,La Avispa,34,266480,0,['Zacarias Ferreira'],2008-01-01,0.939,D,0.483,0.0,128.046
5WUdbehFIiTDyw1vFCljNz,Laki-Laki Pemalu,37,312021,0,['Efek Rumah Kaca'],2008-01-01,0.477,B,0.309,2.44e-06,80.08
4kCrzJFBjTwrCJ9KEAv1IK,A L'Ancienne,35,269893,0,"['Psy 4 De La Rime', 'Nate Dogg']",2008-01-01,0.737,C#,0.0159,1.51e-06,91.011
118yGsSr2BgN8nID3tBW2g,"Aku, Kau Dan Kenanganku",37,275800,0,['Second Civil'],2008-01-01,0.438,F,0.0587,0.000688,139.996
2Ny9HERpSdEHx5ZNtfRIUd,Hanya Untukmu,37,252893,0,['RAN'],2008-01-01,0.72,D,0.0345,6.21e-05,102.008
4gfB2jlXxTTQKxEN0mSox2,Tubuhmu Membiru...Tragis,36,408374,0,['Efek Rumah Kaca'],2008-01-01,0.552,A,0.455,0.111,104.043
3CJ9pztL4D0M1UOJlboGpl,Plus beau cul de monde,35,151480,0,['Odezenne'],2008-01-01,0.714,F#,0.207,6.84e-06,84.811
7tSM6TsdJHWbjpm6dQtHdt,Een Pikketanussie,34,134653,0,['Johnny Jordaan'],2008-01-01,0.712,D#,0.586,0.0,131.691
62Hd0VrodiHALYWoJgiqlr,ความจริงที่ไม่มีเธอ,22,226367,0,['The Studio Project'],2008-01-01,0.676,E,0.612,0.0,105.041
5DP6Uxk8O9ej6xLPb4gDiE,Yo No Te Pido La Luna,57,231440,0,['Daniela Romo'],2008-01-01,0.742,C#,0.274,0.0,122.874
6Qd59TRQhkLXu1tcLX2dKH,Ditakko Ho Marohakki,37,309420,0,['Arvindo'],2008-01-01,0.437,F#,0.412,1.68e-06,139.949
0MElHvNabhJ3FKpK1DbVfc,Raised on Love,35,156011,0,['Major Dundee and Toni Willé'],2008-01-01,0.598,G,0.27,1.28e-06,169.764
7GlixhQpXo76vgALqoJ3L5,Castlevania III (the Beginning),19,114000,0,['Year 200X'],2008-01-01,0.161,G,2.75e-06,0.863,109.784
1ufe1cMoBI4khmCJR4yobx,Kamar Gelap,38,282886,0,['Efek Rumah Kaca'],2008-01-01,0.369,G#,0.522,1.42e-05,117.877
2NyX5HZsdYzhAU1mq6KxVi,Aku Percaya Kamu,41,244893,0,['D’MASIV'],2008-01-01,0.505,G,0.572,0.000493,147.908
3wY0cStb0nF40nJnrgoQun,بلا حب,32,276000,0,['Rashed Al-Majed'],2008-01-01,0.446,C#,0.00847,0.0,171.896
1Zu6VVRoBfKTKxCB9cZVEr,Khayalan Tingkat Tinggi,46,203907,0,['Peterpan'],2008-01-01,0.467,C,0.115,0.0958,134.972
5h8Qks6qkLe7s76SJd8FjQ,Ella Quiere,44,150720,0,"['Franco ""El Gorilla""']",2008-01-01,0.796,G,0.0984,0.0,90.017
301Shr8CosNc5pBEQoHZXE,หยุดตรงนี้ที่เธอ,28,260080,0,['รวมศิลปิน (ฟอร์ด แอนด์ เฟรนด์ส)'],2008-01-01,0.525,A,0.611,0.0,155.804
0VcZ410ejSSFc7UNEPdIQj,'s Nachts na tweeën,35,189427,0,['De Havenzangers'],2008-01-01,0.867,C,0.207,0.0,118.913
2TPcecTmMDq1xR4t2W6DSO,Hingga Ku Jenuh,38,258856,0,['Steven & Coconuttreez'],2008-01-01,0.768,C,0.548,0.0,100.034
5rmsT07X1mvtYNAfx1aOAb,Kahit Maputi Na Ang Buhok Ko,39,220400,0,['Richard Poon'],2008-01-01,0.634,D,0.81,0.0,144.731
3RNcb8ELXeis4uqweDSODi,Aduhai,32,358910,0,"['Brodin', 'Dwi Ratna']",2008-01-01,0.421,E,0.156,0.258,157.295
6aQgkNDaBB7cEL5Sf6UEWh,Sally Sendiri,48,256853,0,['Peterpan'],2008-01-01,0.602,G,0.0817,0.0,135.937
0Ky9DFq4xtsIZQiI0d2fnG,¿Dónde Están Corazón?,54,259400,0,['Enrique Iglesias'],2008-01-01,0.738,A,0.0936,0.0,152.017
2y3lznWjrmXHD8rXEcfEhT,Dochters,57,270467,0,['Marco Borsato'],2008-01-01,0.644,G,0.568,0.0,127.941
2uun7r1VosRzqTQZmffCu6,Human,43,246027,0,['The Killers'],2008-01-01,0.553,A#,0.00151,0.000641,135.447
2ADk9KJOqYdMRwZnxkX1cq,Menunggu Pagi,35,224773,0,['Peterpan'],2008-01-01,0.483,E,0.266,1.76e-06,142.062
49jcBjXIMFL17qDiQNgyqw,Jangan Pura Pura,35,252640,0,['Mansyur S'],2008-01-01,0.62,F,0.226,0.000159,130.026
4COFVKhvXA3LecFReH6D2v,La Yaquesita,51,238240,0,['Valentín Elizalde'],2008-01-01,0.735,C,0.236,7.82e-06,109.809
3VIfFEAfXr66r8z00hqwsS,Na M' Agapas (Gente Que Si) - X-mas version,24,238360,0,['Trifono'],2008-01-01,0.642,B,0.0736,0.0,80.03
4SBamVkStNfLpn6iEce3ZR,Esok 'Kan Kujelang,35,247440,0,['Giving My Best'],2008-01-01,0.57,A,0.542,2.57e-05,143.98
6DS6PL4idDmvd9NLdGreJx,Right Now (Na Na Na),41,240747,0,['Akon'],2008-01-01,0.832,G#,0.266,0.0,137.998
257TCzTASp5liDEH7hRTFn,Kupersembahkan Hidupku,35,264282,0,['Maria Shandi'],2008-01-01,0.389,D,0.653,0.0,140.065
3hDuJp0jCbvErTogsAEiFq,El Privilegio De Amar,52,236373,0,"['Mijares', 'Lucero']",2008-01-01,0.517,D,0.663,0.0,184.156
3bGyK8bLelFOmHEZZQCnBJ,Calm Like You,22,146267,0,['The Last Shadow Puppets'],2008-01-01,0.346,F#,0.0106,8.81e-05,128.187
5HGxHBnvkOoYIa96sw6VMs,Mi Credo,53,182280,0,['K-Paz De La Sierra'],2008-01-01,0.717,D,0.655,1.66e-05,129.877
79tKDQYq3mdJbM4zUUPseb,Let It Rock,20,231173,1,"['Kevin Rudolf', 'Lil Wayne']",2008-01-01,0.607,G,0.000684,0.0,113.172
5xNrCftiKTwkykqtTQLynE,Lagu Santai,48,256302,0,['Steven & Coconuttreez'],2008-01-01,0.753,C,0.343,0.0,135.971
239yEYlZWG7PYuUojNywXZ,Si Te Pudiera Mentir - Live Version,54,263800,0,['Marco Antonio Solís'],2008-01-01,0.482,B,0.125,0.00217,96.313
5hV9P2Z9pugkcEGB0gYXtw,Ola,23,174707,1,"['Midenistis', 'Adigoni Tsiplakidi']",2008-01-01,0.557,F#,0.294,0.0,185.98
41pk4rQlDeoLtLhZetgz5s,Op De Straat - Bonus Track,33,383813,0,"['Salah Edin', 'Stickz', 'Kempi']",2008-01-01,0.819,F#,0.0452,8.92e-06,92.971
0W6zyEbnbSNSKrr48DiKBD,De Thymasai - Min Kaneis Pos,24,191013,0,"['Mystique', 'Nevma']",2008-01-01,0.835,G,0.384,0.0,98.013
7g0FX9TZa8a180obEf7HiC,Belleza De Cantina,52,179853,0,['Cardenales De Nuevo León'],2008-01-01,0.761,F,0.277,0.0,96.431
0Kjt9OTYDgTPTyiLRSkWp9,Just For Me,43,238227,0,['Al Green'],2008-01-01,0.818,B,0.322,0.0,94.09
4c5ikbelwcfSrtfLVhhxsF,El Amor En Carro,52,211907,0,['Julio Chaidez'],2008-01-01,0.586,D#,0.597,8.16e-06,148.208
1boomhGAEyfVaMiODGyate,Suave Y Tierno,52,247787,0,['Grupo Klaz Y Keroz'],2008-01-01,0.828,A,0.16,0.108,97.507
1QMIZNL5sGHl1fcDQG0Gnt,Bahtera Cinta,39,304940,0,"['Lilin Herlina', 'Agung']",2008-01-01,0.519,F,0.105,0.058,140.796
10ND3zAkprkl1JZXzkhZ7g,Kupercaya JanjiMu,35,207439,0,['Maria Shandi'],2008-01-01,0.417,D,0.807,1.58e-06,134.198
7itAQqIlhd4b1maHHM9VoU,Perdóname,68,242480,0,"['La Factoria', 'Eddy Lover']",2008-01-01,0.673,A,0.227,0.0,95.012
4IxWQz0RvilCRyUQxnInHF,No Me Conoces Aún,63,222267,0,['Palomo'],2008-01-01,0.677,B,0.127,2.11e-06,161.93
